,pgd
0,5.017854051970631
1,2.6853706459034843
2,1.6565300708583068
3,1.4218487029999327
4,1.3755151504610492
5,1.3175167214577028
6,1.2782884287438794
7,1.2290781219068536
8,1.1980325800410605
9,1.0984989860033927
10,1.0676704700540107
11,0.9879180490510032
12,0.9523930125337909
13,0.8947966222931893
14,0.854118313118408
15,0.8215860337828945
16,0.7969994098092471
17,0.7673527328147699
18,0.7464235345739962
19,0.7194192349399805
20,0.7016014145337006
21,0.6769033021642354
22,0.6619965999006587
23,0.6268763372970019
24,0.6109560696385893
25,0.5934269905156739
26,0.582391269108641
27,0.5544062860541794
28,0.5419562327388391
29,0.5238981090152216
30,0.5116277634534369
31,0.5016495943051418
32,0.49552610957329707
33,0.47765197606836296
34,0.4678304920149541
35,0.45885540247575896
36,0.4524287154767271
37,0.4364599504429557
38,0.4290843231900335
39,0.4211056434746936
40,0.41589284547080235
41,0.4016017759528464
42,0.39559468190282815
43,0.38498325928111155
44,0.37895634292629693
45,0.37294944109079425
46,0.36817640335381546
47,0.3620661389137641
48,0.3579266594514905
49,0.35190053994613296
50,0.3481401783432048
51,0.3393069443150704
52,0.3343391536849794
53,0.3267795725283027
54,0.32182900417943333
55,0.318579115744094
56,0.30919034571235493
57,0.30562547870029
58,0.29910813584653273
59,0.29516255574093875
60,0.2914653772014815
61,0.28922030698894546
62,0.28227615847718396
63,0.2787807351339744
64,0.2752751679526454
65,0.272859229646786
66,0.2672943702393831
67,0.26478155961232075
68,0.26184634207461
69,0.25967439944511317
70,0.25682775798825236
71,0.2548285703490775
72,0.2520813365564968
73,0.25022011771506575
74,0.24757166118400664
75,0.2458271385162773
76,0.24327241879472136
77,0.24162788322381396
78,0.23829036650042873
79,0.23563776256500157
80,0.2333779221969759
81,0.2318063825586346
82,0.22841022321601204
83,0.22641818280831943
84,0.22447656058745
85,0.2229078334096034
86,0.2210210023777369
87,0.2194863703559831
88,0.21765758588122122
89,0.21614318152832052
90,0.21437537464211356
91,0.21326524184517467
92,0.20969814646919546
93,0.20845457347139587
94,0.20580431602359864
95,0.2037330776431307
96,0.20189317590321532
97,0.2006256789927929
98,0.19806076466360642
99,0.19612696389493497
100,0.1945224346776777
101,0.1934929915840925
102,0.1901841020643047
103,0.1890379966660716
104,0.1864263728340121
105,0.184615302256461
106,0.18224117763037723
107,0.18031162475642562
108,0.1787801837715143
109,0.177785418920346
110,0.17459090516406994
111,0.1734918784315476
112,0.1708878771160735
113,0.1692164171782135
114,0.16681193730034774
115,0.1650359592345286
116,0.16352674950797919
